Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:17,OFSS,11729.0,66.79,66.76,0.03,2026-08-25 23:00,50.58,34.83,15.76,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 66.79 > 50; Hourly RSI 50.58; 15m confirmation checked only while monitored
2026-08-25 23:45:51,PARAS,1445.2,69.55,73.5,-3.94,2026-08-25 23:00,37.84,60.12,-22.29,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 69.55 > 50, but Hourly RSI has not touched 30 (current 37.84)"
2026-08-25 23:45:18,PAYTM,1718.0,77.02,74.43,2.58,2026-08-25 23:00,81.29,57.62,23.67,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 77.02 > 50; Hourly RSI 81.29; 15m confirmation checked only while monitored
2026-08-25 23:45:19,POLICYBZR,1798.3,61.6,61.43,0.17,2026-08-25 23:00,61.02,53.86,7.16,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 61.60 > 50; Hourly RSI 61.02; 15m confirmation checked only while monitored
2026-08-25 23:45:52,POWERINDIA,33300.0,55.85,58.2,-2.35,2026-08-25 23:00,32.86,42.26,-9.4,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 55.85 > 50, but Hourly RSI has not touched 30 (current 32.86)"
2026-08-25 23:45:52,RADICO,4630.0,85.35,86.01,-0.66,2026-08-25 23:00,48.96,41.24,7.72,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 85.35 > 50, but Hourly RSI has not touched 30 (current 48.96)"
2026-08-25 23:45:53,RRKABEL,2801.2,73.01,79.4,-6.39,2026-08-25 23:00,32.79,46.11,-13.31,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 73.01 > 50, but Hourly RSI has not touched 30 (current 32.79)"
2026-08-25 23:45:21,SAIL,184.59,59.39,53.16,6.23,2026-08-25 23:00,78.32,68.02,10.31,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 59.39 > 50; Hourly RSI 78.32; 15m confirmation checked only while monitored
2026-08-25 23:45:22,SAILIFE,1455.5,80.18,80.51,-0.33,2026-08-25 23:00,54.58,40.78,13.79,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 80.18 > 50; Hourly RSI 54.58; 15m confirmation checked only while monitored
2026-08-25 23:45:54,SAREGAMA,504.7,65.3,65.94,-0.64,2026-08-25 23:00,37.84,46.53,-8.69,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 65.30 > 50, but Hourly RSI has not touched 30 (current 37.84)"
2026-08-25 23:45:55,SCHNEIDER,1146.4,47.78,51.7,-3.92,2026-08-25 23:00,17.78,19.8,-2.02,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,IGNORE,❌ IGNORE,Weekly RSI 47.78 <= 50
2026-08-25 23:45:56,SOLARINDS,19800.0,69.65,70.65,-1.0,2026-08-25 23:00,48.79,55.19,-6.41,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 69.65 > 50, but Hourly RSI has not touched 30 (current 48.79)"
2026-08-25 23:45:56,SONACOMS,808.8,76.01,78.16,-2.15,2026-08-25 23:00,41.41,46.24,-4.82,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 76.01 > 50, but Hourly RSI has not touched 30 (current 41.41)"
2026-08-25 23:45:26,STYL,394.0,63.51,63.29,0.22,2026-08-25 23:00,52.86,45.66,7.2,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 63.51 > 50; Hourly RSI 52.86; 15m confirmation checked only while monitored
2026-08-25 23:45:57,SYRMA,1458.1,67.99,67.21,0.78,2026-08-25 23:00,49.23,49.86,-0.63,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 67.99 > 50, but Hourly RSI has not touched 30 (current 49.23)"
2026-08-25 23:45:27,TBOTEK,1725.1,68.78,67.59,1.19,2026-08-25 23:00,64.68,55.76,8.92,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 68.78 > 50; Hourly RSI 64.68; 15m confirmation checked only while monitored
2026-08-25 23:45:28,THOMASCOOK,110.42,51.68,54.04,-2.36,2026-08-25 23:00,54.1,64.77,-10.67,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 51.68 > 50; Hourly RSI 54.10; 15m confirmation checked only while monitored
2026-08-25 23:45:58,UNIMECH,1473.5,71.36,73.07,-1.71,2026-08-25 23:00,39.08,47.11,-8.04,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 71.36 > 50, but Hourly RSI has not touched 30 (current 39.08)"
2026-08-25 23:45:29,URBANCO,169.28,71.36,66.74,4.62,2026-08-25 23:00,80.63,79.58,1.06,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 71.36 > 50; Hourly RSI 80.63; 15m confirmation checked only while monitored
2026-08-25 23:45:59,VIJAYA,1482.3,68.48,71.02,-2.54,2026-08-25 23:00,44.44,42.48,1.97,YES,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 68.48 > 50, but Hourly RSI has not touched 30 (current 44.44)"
2026-08-25 23:45:31,WELCORP,2345.5,93.15,92.94,0.22,2026-08-25 23:00,68.09,80.47,-12.38,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 93.15 > 50; Hourly RSI 68.09; 15m confirmation checked only while monitored
2026-08-25 23:45:31,WELSPUNLIV,190.3,73.84,73.5,0.34,2026-08-25 23:00,60.84,61.38,-0.55,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 73.84 > 50; Hourly RSI 60.84; 15m confirmation checked only while monitored
2026-08-25 23:46:00,ZENTEC,1877.7,58.74,61.36,-2.62,2026-08-25 23:00,38.33,46.35,-8.02,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 58.74 > 50, but Hourly RSI has not touched 30 (current 38.33)"
2026-08-26 09:26:24,AARTIIND,538.75,66.01,64.11,1.9,2026-08-26 09:00,57.09,56.33,0.76,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 66.01 > 50; Hourly RSI 57.09; 15m confirmation checked only while monitored
2026-08-26 09:26:25,ABB,7684.0,62.29,59.13,3.15,2026-08-26 09:00,69.86,65.06,4.8,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 62.29 > 50; Hourly RSI 69.86; 15m confirmation checked only while monitored
2026-08-26 09:26:27,ACMESOLAR,399.5,69.81,70.63,-0.82,2026-08-26 09:00,52.61,50.5,2.1,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 69.81 > 50; Hourly RSI 52.61; 15m confirmation checked only while monitored
2026-08-26 09:26:29,ADANIENSOL,1596.8,62.51,59.54,2.97,2026-08-26 09:00,67.64,66.87,0.76,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 62.51 > 50; Hourly RSI 67.64; 15m confirmation checked only while monitored
