Sector,Company Name,Industry,Symbol,Series,ISIN Code,Status
nifty500,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,MAPPING_NOT_FOUND
nifty500,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NO_DATA
nifty500,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
nifty500,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
